created_date,agent_id,team,manager,handled_cases,avg_handle_seconds,sla_breach_pct
2026-01-01,A100,T3_accounts,M-Kim,1,417.00,0.00
2026-01-01,A101,T2_delivery,M-Rita,1,271.00,0.00
2026-01-01,A103,T2_delivery,M-Anika,1,754.00,0.00
2026-01-01,A104,T3_accounts,M-Javier,2,663.00,0.00
2026-01-01,A105,T1_returns,M-Javier,1,896.00,0.00
2026-01-01,A106,T1_returns,M-Anika,1,278.00,0.00
2026-01-01,A108,T1_returns,M-Rita,1,249.00,0.00
2026-01-01,A109,T3_accounts,M-Rita,1,466.00,0.00
2026-01-01,A111,T1_returns,M-Anika,2,565.00,0.00
2026-01-01,A112,T3_accounts,M-Kim,1,667.00,0.00
2026-01-01,A114,T2_delivery,M-Anika,1,302.00,0.00
2026-01-01,A116,T2_delivery,M-Kim,1,562.00,0.00
2026-01-01,A118,T1_returns,M-Javier,1,328.00,0.00
2026-01-01,A120,T2_delivery,M-Kim,1,759.00,0.00
2026-01-01,A121,T3_accounts,M-Kim,1,470.00,0.00
2026-01-01,A122,T3_accounts,M-Rita,2,664.50,0.00
2026-01-01,A124,T1_returns,M-Javier,2,316.00,0.00
2026-01-01,A125,T3_accounts,M-Rita,1,571.00,0.00
2026-01-01,A126,T3_accounts,M-Rita,1,612.00,0.00
2026-01-01,A127,T1_returns,M-Anika,1,797.00,0.00
2026-01-01,A128,T3_accounts,M-Anika,1,762.00,0.00
2026-01-01,A129,T1_returns,M-Anika,3,4232.00,0.00
2026-01-01,A132,T3_accounts,M-Anika,1,910.00,0.00
2026-01-01,A133,T1_returns,M-Javier,2,665.50,0.00
2026-01-01,A135,T3_accounts,M-Kim,2,887.00,0.00
2026-01-01,A136,T3_accounts,M-Anika,2,717.00,0.00
2026-01-01,A138,T1_returns,M-Rita,1,377.00,0.00
2026-01-01,A140,T1_returns,M-Javier,1,1265.00,0.00
2026-01-01,A141,T2_delivery,M-Rita,1,812.00,0.00
2026-01-01,A142,T1_returns,M-Kim,1,784.00,0.00
2026-01-01,A144,T2_delivery,M-Rita,1,558.00,0.00
2026-01-01,A148,T2_delivery,M-Kim,1,426.00,0.00
2026-01-01,A152,T2_delivery,M-Anika,1,716.00,0.00
2026-01-01,A153,T2_delivery,M-Kim,1,345.00,0.00
2026-01-01,A154,T2_delivery,M-Kim,2,1062.50,0.00
2026-01-01,A156,T2_delivery,M-Javier,1,561.00,0.00
2026-01-01,A158,T2_delivery,M-Kim,1,269.00,0.00
2026-01-01,A159,T3_accounts,M-Javier,1,366.00,0.00
2026-01-01,A160,T2_delivery,M-Kim,2,553.50,0.00
2026-01-01,A162,T1_returns,M-Kim,1,370.00,0.00
2026-01-01,A163,T2_delivery,M-Anika,1,897.00,0.00
