case_id,customer_id,site_code,channel,issue_type,priority,created_at,first_response_seconds,handle_seconds,resolved_at,sla_target_seconds,sla_breached,agent_id,created_ts,resolved_ts,resolution_seconds,invalid_duration_flag,is_open_case,handle_seconds_capped,team,manager
C102469,U8626,DFW2,email,refund,P2,2026-02-09 11:32:30,578,1028,2026-02-09 11:54:13,172800,0,A131,2026-02-09 11:32:30,2026-02-09 11:54:13,1303,0,0,1028,T1_returns,M-Rita
C103694,U15096,JFK5,chat,payment,P2,2026-02-27 20:36:49,381,638,2026-02-27,172800,0,A154,2026-02-27 20:36:49,2026-02-27 00:00:00,,1,0,638,T2_delivery,M-Kim
C101510,U18841,PHX1,callback,payment,P1,2026-01-24 16:37:16,471,1048,,86400,0,A161,2026-01-24 16:37:16,2026-03-27 18:28:02,5363446,0,1,1048,T3_accounts,M-Kim
C102695,U14846,PHX1,email,unknown,P3,2026-02-12 16:54:36,82,538,2026-02-12 17:05:46,259200,0,A152,2026-02-12 16:54:36,2026-02-12 17:05:46,670,0,0,538,T2_delivery,M-Anika
C100581,U18496,PHX1,email,account,P2,2026-01-10 08:45:54,483,1493,2026-01-10 09:07:19,172800,0,A138,2026-01-10 08:45:54,2026-01-10 09:07:19,1285,0,0,1493,T1_returns,M-Rita
C100983,U14722,PHX1,phone,damaged_item,P1,16-01-2026 21:36,100,397,01/16/2026 21:53,86400,0,A131,2026-01-16 21:36:00,2026-01-16 21:53:00,1020,0,0,397,T1_returns,M-Rita
C100933,U9795,DFW2,phone,unknown,P3,01/15/2026 12:31,468,754,01/15/2026 13:02,259200,0,A131,2026-01-15 12:31:00,2026-01-15 13:02:00,1860,0,0,754,T1_returns,M-Rita
C100126,U7414,JFK5,chat,account,P3,2026-01-02 17:35:59,75,262,01/02/2026 17:47,259200,0,A155,2026-01-02 17:35:59,2026-01-02 17:47:00,661,0,0,262,T2_delivery,M-Javier
C102714,U7431,PHX1,phone,wrong_item,P2,2026-02-12 06:35:10,,929,2026-02-12 07:11:21,172800,0,A169,2026-02-12 06:35:10,2026-02-12 07:11:21,2171,0,0,929,T3_accounts,M-Kim
C103625,U8974,PHX1,chat,damaged_item,P2,2026-02-26 17:39:50,167,545,02/26/2026 17:58,172800,0,A107,2026-02-26 17:39:50,2026-02-26 17:58:00,1090,0,0,545,T2_delivery,M-Rita
C103347,U16308,JFK5,email,refund,P1,2026-02-23,846,1562,02/23/2026 23:35,86400,0,A141,2026-02-23 00:00:00,2026-02-23 23:35:00,84900,0,0,1562,T2_delivery,M-Rita
C100431,U6173,DFW2,chat,wrong_item,P3,01/07/2026 10:30,,507,2026-01-07 10:43:24,259200,0,A134,2026-01-07 10:30:00,2026-01-07 10:43:24,804,0,0,507,T2_delivery,M-Kim
C101024,U12449,PHX1,chat,wrong_item,P3,2026-01-16 17:43:46,132,302,01/16/2026 17:52,259200,0,A101,2026-01-16 17:43:46,2026-01-16 17:52:00,494,0,0,302,T2_delivery,M-Rita
C103388,U6042,JFK5,email,wrong_item,P3,02/23/2026 11:55,518,976,2026-02-23 12:29:59,259200,0,A177,2026-02-23 11:55:00,2026-02-23 12:29:59,2099,0,0,976,T2_delivery,M-Javier
C103652,U9975,JFK5,phone,unknown,P2,2026-02-27 19:45:27,419,955,27-02-2026 20:20,172800,0,A128,2026-02-27 19:45:27,2026-02-27 20:20:00,2073,0,0,955,T3_accounts,M-Anika
C101088,U13496,JFK5,phone,payment,P3,2026-01-18 07:03:38,213,932,2026-01-18 07:18:46,259200,0,A119,2026-01-18 07:03:38,2026-01-18 07:18:46,908,0,0,932,T3_accounts,M-Kim
C100156,U5742,JFK5,email,damaged_item,P2,2026-01-02 09:08:06,329,815,2026-01-02 09:34:35,172800,0,A104,2026-01-02 09:08:06,2026-01-02 09:34:35,1589,0,0,815,T3_accounts,M-Javier
C100584,U15386,JFK5,email,refund,P2,01/10/2026 07:33,818,1411,10-01-2026 08:16,172800,0,A126,2026-01-10 07:33:00,2026-01-10 08:16:00,2580,0,0,1411,T3_accounts,M-Rita
C102708,U13481,SEA3,chat,damaged_item,P2,2026-02-12 12:03:58,139,706,2026-02-12 12:18:33,172800,0,A171,2026-02-12 12:03:58,2026-02-12 12:18:33,875,0,0,706,T2_delivery,M-Javier
C102286,U15424,PHX1,chat,account,P2,2026-02-05 15:31:22,115,679,,172800,0,A117,2026-02-05 15:31:22,2026-03-27 18:28:02,4330600,0,1,679,T2_delivery,M-Kim
C102969,U11545,JFK5,phone,account,P3,2026-02-17,385,879,2026-02-17 21:54:21,259200,0,A125,2026-02-17 00:00:00,2026-02-17 21:54:21,78861,0,0,879,T3_accounts,M-Rita
C103558,U6512,DFW2,phone,wrong_item,P3,02/26/2026 14:47,453,892,2026-02-26 15:28:48,259200,0,A134,2026-02-26 14:47:00,2026-02-26 15:28:48,2508,0,0,892,T2_delivery,M-Kim
C100371,U5089,PHX1,chat,refund,P3,2026-01-07 09:27:08,153,365,2026-01-07 09:36:29,259200,0,A100,2026-01-07 09:27:08,2026-01-07 09:36:29,561,0,0,365,T3_accounts,M-Kim
C101639,U7855,SEA3,email,damaged_item,P3,2026-01-27 21:42:23,168,612,2026-01-27 21:54:51,259200,0,A108,2026-01-27 21:42:23,2026-01-27 21:54:51,748,0,0,612,T1_returns,M-Rita
