case_id,customer_id,site_code,channel,issue_type,priority,created_at,first_response_seconds,handle_seconds,resolved_at,sla_target_seconds,sla_breached,agent_id
C103142,U13575,JFK5,chat,delivery_delay,P2,18-02-2026 11:25,265,472,2026-02-18 11:46:25,172800,0,A168
C101679,U8026,PHX1,email,refund,P2,01/27/2026 12:51,757,1221,2026-01-27 13:23:32,172800,0,A152
C102349,U15165,SEA3,chat,refund,P2,2026-02-06 07:57:35,107,447,2026-02-06 08:15:38,172800,0,A171
C102436,U5906,SEA3,phone,payment,P1,2026-02-07 21:58:17,212,512,2026-02-07 22:10:17,86400,0,A174
C100484,U6075,JFK5,email,account,P3,2026-01-08 22:53:07,794,1445,2026-01-08 23:58:18,259200,0,A124
C103727,U16626,JFK5,phone,wrong_item,P3,2026-02-26 10:07:24,415,828,2026-03-01 20:33:47,259200,1,A126
C100064,U11284,JFK5,chat,payment,P2,2026-01-01 09:41:53,276,432,01/01/2026 09:52,172800,0,A124
C102818,U6420,JFK5,callback,delivery_delay,P3,2026-02-12 14:38:57,,505,2026-02-12 14:58:19,259200,0,A129
C101901,U14680,JFK5,phone,damaged_item,P2,30-01-2026 14:33,,818,2026-02-02 07:45:56,172800,1,A143
C102755,U5894,JFK5,phone,payment,P3,2026-02-11 22:47:53,241,845,2026-02-11 23:05:10,259200,0,A150
C103254,U9316,JFK5,chat,damaged_item,P1,2026-02-19 16:24:09,107,306,2026-02-21 04:43:32,86400,1,A164
C101370,U13795,JFK5,chat,delivery_delay,P1,2026-01-22 09:05:11,231,493,,86400,1,A101
C102913,U6206,DFW2,phone,wrong_item,P2,2026-02-13 06:51:13,434,701,2026-02-13 07:10:06,172800,0,A131
C103860,U16170,PHX1,email,wrong_item,P3,2026-02-28 07:36:13,626,1426,2026-02-28 08:05:14,259200,0,A151
C102611,U12847,JFK5,email,delivery_delay,P1,2026-02-10,626,1210,2026-02-10 21:26:00,86400,0,A154
C103920,U15436,SEA3,email,account,P2,2026-03-01 21:01:39,246,636,2026-03-01 21:18:37,172800,0,A113
C103423,U18749,SEA3,phone,payment,P2,21-02-2026 13:11,134,645,2026-02-21 13:30:00,172800,0,A172
C101495,U13558,SEA3,email,account,P2,2026-01-23 10:14:03,468,967,2026-01-23,172800,0,A174
C101815,U14645,DFW2,email,damaged_item,P2,28-01-2026 17:04,509,878,2026-01-28 17:26:59,172800,0,A178
C102114,U7316,DFW2,phone,payment,P3,2026-02-02 08:01:03,100,463,,259200,0,A153
C100680,U18888,PHX1,chat,damaged_item,P1,01/12/2026 21:43,211,526,2026-01-12 22:03:23,86400,0,A173
C100481,U15143,PHX1,chat,damaged_item,P3,2026-01-08 12:50:43,235,483,2026-01-12 14:28:15,259200,1,A105
C101284,U10625,JFK5,chat,payment,P3,2026-01-21 16:25:10,100,315,2026-01-21 16:39:46,259200,0,A149
C100557,U12594,SEA3,email,wrong_item,P1,2026-01-09 18:30:17,467,1274,,86400,1,A128
C101232,U13499,PHX1,chat,damaged_item,P3,2026-01-20 08:30:24,125,615,01/20/2026 08:45,259200,0,A122
C101886,U6309,JFK5,phone,account,P3,2026-01-29 09:29:08,,311,01/29/2026 09:37,259200,0,A114
C101784,U11224,JFK5,chat,refund,P2,01/28/2026 16:25,135,296,2026-01-28 16:31:16,172800,0,A101
C100070,U7385,JFK5,phone,delivery_delay,P2,2026-01-02 19:06:48,180,329,2026-01-02 19:15:33,172800,0,A131
C100823,U14244,PHX1,chat,wrong_item,P3,2026-01-14 21:23:42,165,457,2026-01-14,259200,0,A149
C101876,U11823,SEA3,email,delivery_delay,P2,2026-01-29 17:52:21,229,842,2026-02-02 05:27:15,172800,1,A138
C103495,U13731,DFW2,phone,payment,P2,2026-02-23 16:13:21,411,651,2026-02-23,172800,0,A154
C102422,U18718,SEA3,chat,wrong_item,P2,02/06/2026 18:55,,15728,2026-02-07,172800,0,A150
C102394,U7496,PHX1,chat,wrong_item,P3,02/06/2026 10:10,206,379,02/06/2026 10:17,259200,0,A142
C101372,U7697,SEA3,chat,refund,P3,2026-01-22,145,625,2026-01-27 03:00:43,259200,1,A106
C100297,U10617,SEA3,email,damaged_item,P2,01/06/2026 09:24,837,1377,2026-01-06 10:19:41,172800,0,A137
C100714,U16484,DFW2,chat,wrong_item,P2,2026-01-12 15:18:31,162,593,01/12/2026 15:42,172800,0,A131
C100529,U11649,SEA3,phone,payment,P2,2026-01-09 16:55:53,271,573,2026-01-09 17:10:33,172800,0,A130
C102859,U9401,SEA3,phone,refund,P3,2026-02-12 14:25:19,246,472,2026-02-12 14:47:10,259200,0,A153
C102343,U18491,SEA3,chat,,P1,2026-02-06 15:59:50,288,659,2026-02-06 16:23:07,86400,0,A152
C101658,U6843,JFK5,chat,damaged_item,P1,2026-01-27 21:59:00,197,677,2026-01-27,86400,0,A179
C103805,U6279,PHX1,chat,payment,P2,2026-02-27 18:30:05,262,433,2026-02-27 18:42:37,172800,0,A122
C102129,U5683,PHX1,chat,refund,P3,2026-02-03 11:55:56,251,609,02/03/2026 12:09,259200,0,A155
C100027,U15510,DFW2,phone,refund,P2,2026-01-01 17:19:52,412,708,2026-01-01 17:52:14,172800,0,A165
C101454,U9437,DFW2,callback,,P2,2026-01-23 14:46:49,290,789,23-01-2026 15:13,172800,0,A150
C102797,U16026,DFW2,chat,payment,P1,2026-02-12 15:51:11,190,310,2026-02-12 16:00:18,86400,0,A141
C101752,U14822,DFW2,callback,damaged_item,P3,01/28/2026 11:03,,517,2026-01-28 11:23:57,259200,0,
C100208,U18514,SEA3,email,payment,P1,2026-01-05 20:31:20,686,1253,2026-01-05 21:08:25,86400,0,A127
C101949,U11242,DFW2,chat,damaged_item,P3,2026-01-30 22:58:17,83,324,01/30/2026 23:12,259200,0,A102
C101487,U15901,PHX1,chat,delivery_delay,P3,2026-01-23 20:51:58,125,291,2026-01-23 21:00:33,259200,0,A155
C100486,U5361,SEA3,callback,account,P3,2026-01-08 06:18:26,402,775,01/08/2026 06:33,259200,0,A129
C102078,U8757,PHX1,phone,damaged_item,P2,2026-02-02 22:20:01,340,961,2026-02-02 23:00:57,172800,0,A162
C100508,U14342,JFK5,chat,payment,P3,2026-01-09 17:01:05,160,400,2026-01-09 17:16:40,259200,0,A108
C102478,U8045,JFK5,chat,payment,P3,02/08/2026 18:42,326,596,08-02-2026 18:52,259200,0,A121
C102875,U15396,SEA3,phone,payment,P1,2026-02-13 15:26:29,364,632,2026-02-13 15:53:19,86400,0,A122
C101576,U17699,SEA3,callback,payment,P2,25-01-2026 15:39,239,1016,2026-01-25 16:11:11,172800,0,A162
C100332,U17695,PHX1,chat,account,P2,2026-01-06 10:38:06,,267,01/06/2026 10:47,172800,0,A155
C101164,U11403,PHX1,phone,damaged_item,P1,01/19/2026 08:02,190,340,2026-01-19 08:10:15,86400,0,
C101064,U16985,SEA3,email,payment,P2,2026-01-17 07:45:05,367,924,17-01-2026 08:09,172800,0,A175
C103742,U18345,DFW2,callback,damaged_item,P2,2026-02-26 16:03:42,103,466,2026-02-26 16:23:22,172800,0,A101
C103574,U6827,SEA3,phone,damaged_item,P3,2026-02-24 06:46:27,293,837,24-02-2026 07:22,259200,0,A128
C102877,U6345,JFK5,phone,payment,P2,2026-02-13 07:09:03,60,338,2026-02-16 07:06:52,172800,1,A116
C101961,U12569,DFW2,email,refund,P1,2026-01-30 19:27:35,217,533,2026-01-30 19:40:26,86400,0,A122
C101974,U15380,JFK5,email,wrong_item,P2,2026-01-30 11:06:18,781,1307,,172800,0,A149
C100805,U6638,JFK5,chat,delivery_delay,P2,2026-01-14 13:30:07,259,647,2026-01-14 13:55:49,172800,0,A138
C101015,U11065,SEA3,phone,account,P2,2026-01-16 12:26:11,363,567,16-01-2026 12:49,172800,0,A146
C100205,U16129,JFK5,email,account,P2,05-01-2026 07:36,317,1119,2026-01-05 08:24:05,172800,0,A112
C103635,U16046,PHX1,phone,refund,P2,2026-02-25 15:20:52,438,861,2026-02-25 15:37:29,172800,0,A175
C101248,U5258,JFK5,phone,account,P3,20-01-2026 17:28,160,878,2026-01-20 17:52:01,259200,0,A157
C102199,U15350,JFK5,email,damaged_item,P2,2026-02-03 07:02:50,598,1108,2026-02-06 20:09:54,172800,1,A166
C102951,U12601,DFW2,email,account,P2,2026-02-14 22:40:08,557,860,,172800,0,A111
C102324,U18715,SEA3,phone,delivery_delay,P3,2026-02-05 22:37:39,119,587,2026-02-05 22:50:21,259200,0,A173
C101854,U7202,JFK5,email,delivery_delay,P1,2026-01-29 18:26:26,383,1327,01/29/2026 19:21,86400,0,A116
C103713,U17960,SEA3,email,,P1,2026-02-26 14:57:38,197,588,2026-02-26 15:13:59,86400,0,A103
C103760,U9465,PHX1,chat,account,P2,2026-02-26 19:46:22,361,564,02/26/2026 20:11,172800,0,A144
C103918,U5232,JFK5,email,wrong_item,P2,2026-03-01 14:50:06,170,665,03/01/2026 15:05,172800,0,
C100943,U6490,SEA3,email,delivery_delay,P2,2026-01-15 13:08:39,155,566,2026-01-15 13:28:09,172800,0,A147
C101918,U11517,DFW2,chat,delivery_delay,P2,2026-01-30 07:08:22,212,465,01/30/2026 07:19,172800,0,A137
C102874,U10422,JFK5,chat,damaged_item,P2,2026-02-13 16:29:57,134,592,02/13/2026 16:42,172800,0,A170
C100392,U9237,PHX1,phone,damaged_item,P2,01/07/2026 06:21,267,639,2026-01-07 06:37:08,172800,0,A170
C102028,U6614,DFW2,chat,damaged_item,P1,2026-02-01 10:28:11,72,363,2026-02-01 10:35:04,86400,0,A130
C103636,U17814,PHX1,callback,refund,P2,2026-02-25 10:20:49,9373,21248,2026-02-25 23:24:37,172800,0,A109
C103822,U16276,JFK5,chat,,P2,2026-02-27 22:09:36,67,265,2026-02-27 22:14:40,172800,0,A145
